param_C,mean_test_score,std_test_score,rank_test_score
0.001,0.7420447670901391,0.026454426175535062,5
0.01,0.7701754385964913,0.018496765463487386,4
0.1,0.7805807622504537,0.016476268148142,3
1,0.8051421657592257,0.047446198562797186,2
10,0.8224440411373262,0.047974564173433855,1
