param_criterion,param_max_depth,param_min_samples_split,param_min_samples_leaf,mean_test_score,std_test_score,rank_test_score
gini,4,80,80,0.8052026618269812,0.041589011664457554,241
gini,5,2,2,0.8155474894131881,0.039378432847459774,201
gini,5,5,2,0.8155474894131881,0.039378432847459774,201
gini,5,10,2,0.8155474894131881,0.039378432847459774,201
gini,5,20,2,0.8155474894131881,0.039378432847459774,201
gini,5,40,2,0.8225045372050817,0.028606005585898254,37
gini,5,80,2,0.8189957652752572,0.03973887182843178,153
gini,5,2,5,0.8155474894131881,0.039378432847459774,201
gini,5,5,5,0.8155474894131881,0.039378432847459774,201
gini,5,10,5,0.8155474894131881,0.039378432847459774,201
gini,5,20,5,0.8155474894131881,0.039378432847459774,201
gini,5,40,5,0.8225045372050817,0.028606005585898254,37
gini,5,80,5,0.8189957652752572,0.03973887182843178,153
gini,5,2,10,0.8225650332728373,0.04329152036872847,21
gini,5,5,10,0.8225650332728373,0.04329152036872847,21
gini,5,10,10,0.8225650332728373,0.04329152036872847,21
gini,5,20,10,0.8225650332728373,0.04329152036872847,21
gini,5,40,10,0.8225045372050817,0.028606005585898254,37
gini,5,80,10,0.8189957652752572,0.03973887182843178,153
gini,5,2,20,0.8225045372050817,0.028606005585898254,37
gini,5,5,20,0.8225045372050817,0.028606005585898254,37
gini,5,10,20,0.8225045372050817,0.028606005585898254,37
gini,5,20,20,0.8225045372050817,0.028606005585898254,37
gini,5,40,20,0.8225045372050817,0.028606005585898254,37
gini,5,80,20,0.8189957652752572,0.03973887182843178,153
gini,5,2,40,0.8225045372050817,0.04374597782127807,37
gini,5,5,40,0.8225045372050817,0.04374597782127807,37
gini,5,10,40,0.8225045372050817,0.04374597782127807,37
gini,5,20,40,0.8225045372050817,0.04374597782127807,37
gini,5,40,40,0.8225045372050817,0.04374597782127807,37
gini,5,80,40,0.8225045372050817,0.04374597782127807,37
gini,5,2,80,0.8052026618269812,0.041589011664457554,241
gini,5,5,80,0.8052026618269812,0.041589011664457554,241
gini,5,10,80,0.8052026618269812,0.041589011664457554,241
gini,5,20,80,0.8052026618269812,0.041589011664457554,241
gini,5,40,80,0.8052026618269812,0.041589011664457554,241
gini,5,80,80,0.8052026618269812,0.041589011664457554,241
entropy,1,2,2,0.8052026618269812,0.041589011664457554,241
entropy,1,5,2,0.8052026618269812,0.041589011664457554,241
entropy,1,10,2,0.8052026618269812,0.041589011664457554,241
entropy,1,20,2,0.8052026618269812,0.041589011664457554,241
entropy,1,40,2,0.8052026618269812,0.041589011664457554,241
entropy,1,80,2,0.8052026618269812,0.041589011664457554,241
entropy,1,2,5,0.8052026618269812,0.041589011664457554,241
entropy,1,5,5,0.8052026618269812,0.041589011664457554,241
entropy,1,10,5,0.8052026618269812,0.041589011664457554,241
entropy,1,20,5,0.8052026618269812,0.041589011664457554,241
entropy,1,40,5,0.8052026618269812,0.041589011664457554,241
entropy,1,80,5,0.8052026618269812,0.041589011664457554,241
entropy,1,2,10,0.8052026618269812,0.041589011664457554,241
entropy,1,5,10,0.8052026618269812,0.041589011664457554,241
entropy,1,10,10,0.8052026618269812,0.041589011664457554,241
entropy,1,20,10,0.8052026618269812,0.041589011664457554,241
entropy,1,40,10,0.8052026618269812,0.041589011664457554,241
entropy,1,80,10,0.8052026618269812,0.041589011664457554,241
entropy,1,2,20,0.8052026618269812,0.041589011664457554,241
entropy,1,5,20,0.8052026618269812,0.041589011664457554,241
entropy,1,10,20,0.8052026618269812,0.041589011664457554,241
entropy,1,20,20,0.8052026618269812,0.041589011664457554,241
entropy,1,40,20,0.8052026618269812,0.041589011664457554,241
entropy,1,80,20,0.8052026618269812,0.041589011664457554,241
entropy,1,2,40,0.8052026618269812,0.041589011664457554,241
entropy,1,5,40,0.8052026618269812,0.041589011664457554,241
entropy,1,10,40,0.8052026618269812,0.041589011664457554,241
entropy,1,20,40,0.8052026618269812,0.041589011664457554,241
entropy,1,40,40,0.8052026618269812,0.041589011664457554,241
entropy,1,80,40,0.8052026618269812,0.041589011664457554,241
entropy,1,2,80,0.8052026618269812,0.041589011664457554,241
entropy,1,5,80,0.8052026618269812,0.041589011664457554,241
entropy,1,10,80,0.8052026618269812,0.041589011664457554,241
entropy,1,20,80,0.8052026618269812,0.041589011664457554,241
entropy,1,40,80,0.8052026618269812,0.041589011664457554,241
entropy,1,80,80,0.8052026618269812,0.041589011664457554,241
entropy,2,2,2,0.811978221415608,0.03472158093236357,217
entropy,2,5,2,0.811978221415608,0.03472158093236357,217
entropy,2,10,2,0.811978221415608,0.03472158093236357,217
entropy,2,20,2,0.811978221415608,0.03472158093236357,217
entropy,2,40,2,0.811978221415608,0.03472158093236357,217
entropy,2,80,2,0.811978221415608,0.03472158093236357,217
entropy,2,2,5,0.811978221415608,0.03472158093236357,217
entropy,2,5,5,0.811978221415608,0.03472158093236357,217
entropy,2,10,5,0.811978221415608,0.03472158093236357,217
entropy,2,20,5,0.811978221415608,0.03472158093236357,217
entropy,2,40,5,0.811978221415608,0.03472158093236357,217
entropy,2,80,5,0.811978221415608,0.03472158093236357,217
entropy,2,2,10,0.811978221415608,0.03472158093236357,217
entropy,2,5,10,0.811978221415608,0.03472158093236357,217
entropy,2,10,10,0.811978221415608,0.03472158093236357,217
entropy,2,20,10,0.811978221415608,0.03472158093236357,217
entropy,2,40,10,0.811978221415608,0.03472158093236357,217
entropy,2,80,10,0.811978221415608,0.03472158093236357,217
entropy,2,2,20,0.811978221415608,0.03472158093236357,217
entropy,2,5,20,0.811978221415608,0.03472158093236357,217
entropy,2,10,20,0.811978221415608,0.03472158093236357,217
entropy,2,20,20,0.811978221415608,0.03472158093236357,217
entropy,2,40,20,0.811978221415608,0.03472158093236357,217
entropy,2,80,20,0.811978221415608,0.03472158093236357,217
entropy,2,2,40,0.8225045372050817,0.04374597782127807,37
entropy,2,5,40,0.8225045372050817,0.04374597782127807,37
entropy,2,10,40,0.8225045372050817,0.04374597782127807,37
entropy,2,20,40,0.8225045372050817,0.04374597782127807,37
entropy,2,40,40,0.8225045372050817,0.04374597782127807,37
entropy,2,80,40,0.8225045372050817,0.04374597782127807,37
entropy,2,2,80,0.8052026618269812,0.041589011664457554,241
entropy,2,5,80,0.8052026618269812,0.041589011664457554,241
entropy,2,10,80,0.8052026618269812,0.041589011664457554,241
entropy,2,20,80,0.8052026618269812,0.041589011664457554,241
entropy,2,40,80,0.8052026618269812,0.041589011664457554,241
entropy,2,80,80,0.8052026618269812,0.041589011664457554,241
entropy,3,2,2,0.8260133091349063,0.03170328739196253,1
entropy,3,5,2,0.8260133091349063,0.03170328739196253,1
entropy,3,10,2,0.8260133091349063,0.03170328739196253,1
entropy,3,20,2,0.8260133091349063,0.03170328739196253,1
entropy,3,40,2,0.8260133091349063,0.03170328739196253,1
entropy,3,80,2,0.8189957652752572,0.03973887182843178,153
entropy,3,2,5,0.8260133091349063,0.03170328739196253,1
entropy,3,5,5,0.8260133091349063,0.03170328739196253,1
entropy,3,10,5,0.8260133091349063,0.03170328739196253,1
entropy,3,20,5,0.8260133091349063,0.03170328739196253,1
entropy,3,40,5,0.8260133091349063,0.03170328739196253,1
entropy,3,80,5,0.8189957652752572,0.03973887182843178,153
entropy,3,2,10,0.8260133091349063,0.03170328739196253,1
entropy,3,5,10,0.8260133091349063,0.03170328739196253,1
entropy,3,10,10,0.8260133091349063,0.03170328739196253,1
entropy,3,20,10,0.8260133091349063,0.03170328739196253,1
entropy,3,40,10,0.8260133091349063,0.03170328739196253,1
entropy,3,80,10,0.8189957652752572,0.03973887182843178,153
entropy,3,2,20,0.8260133091349063,0.03170328739196253,1
entropy,3,5,20,0.8260133091349063,0.03170328739196253,1
entropy,3,10,20,0.8260133091349063,0.03170328739196253,1
entropy,3,20,20,0.8260133091349063,0.03170328739196253,1
entropy,3,40,20,0.8260133091349063,0.03170328739196253,1
entropy,3,80,20,0.8189957652752572,0.03973887182843178,153
entropy,3,2,40,0.8225045372050817,0.04374597782127807,37
entropy,3,5,40,0.8225045372050817,0.04374597782127807,37
entropy,3,10,40,0.8225045372050817,0.04374597782127807,37
entropy,3,20,40,0.8225045372050817,0.04374597782127807,37
entropy,3,40,40,0.8225045372050817,0.04374597782127807,37
entropy,3,80,40,0.8225045372050817,0.04374597782127807,37
entropy,3,2,80,0.8052026618269812,0.041589011664457554,241
entropy,3,5,80,0.8052026618269812,0.041589011664457554,241
entropy,3,10,80,0.8052026618269812,0.041589011664457554,241
entropy,3,20,80,0.8052026618269812,0.041589011664457554,241
entropy,3,40,80,0.8052026618269812,0.041589011664457554,241
entropy,3,80,80,0.8052026618269812,0.041589011664457554,241
entropy,4,2,2,0.8190562613430128,0.04078188853960622,137
entropy,4,5,2,0.8190562613430128,0.04078188853960622,137
entropy,4,10,2,0.8190562613430128,0.04078188853960622,137
entropy,4,20,2,0.8190562613430128,0.04078188853960622,137
entropy,4,40,2,0.8225045372050817,0.028606005585898254,37
entropy,4,80,2,0.8189957652752572,0.03973887182843178,153
entropy,4,2,5,0.8190562613430128,0.04078188853960622,137
entropy,4,5,5,0.8190562613430128,0.04078188853960622,137
entropy,4,10,5,0.8190562613430128,0.04078188853960622,137
entropy,4,20,5,0.8190562613430128,0.04078188853960622,137
entropy,4,40,5,0.8225045372050817,0.028606005585898254,37
entropy,4,80,5,0.8189957652752572,0.03973887182843178,153
entropy,4,2,10,0.8190562613430128,0.04078188853960622,137
entropy,4,5,10,0.8190562613430128,0.04078188853960622,137
entropy,4,10,10,0.8190562613430128,0.04078188853960622,137
entropy,4,20,10,0.8190562613430128,0.04078188853960622,137
entropy,4,40,10,0.8225045372050817,0.028606005585898254,37
entropy,4,80,10,0.8189957652752572,0.03973887182843178,153
entropy,4,2,20,0.8225045372050817,0.028606005585898254,37
entropy,4,5,20,0.8225045372050817,0.028606005585898254,37
entropy,4,10,20,0.8225045372050817,0.028606005585898254,37
entropy,4,20,20,0.8225045372050817,0.028606005585898254,37
entropy,4,40,20,0.8225045372050817,0.028606005585898254,37
entropy,4,80,20,0.8189957652752572,0.03973887182843178,153
entropy,4,2,40,0.8225045372050817,0.04374597782127807,37
entropy,4,5,40,0.8225045372050817,0.04374597782127807,37
entropy,4,10,40,0.8225045372050817,0.04374597782127807,37
entropy,4,20,40,0.8225045372050817,0.04374597782127807,37
entropy,4,40,40,0.8225045372050817,0.04374597782127807,37
entropy,4,80,40,0.8225045372050817,0.04374597782127807,37
entropy,4,2,80,0.8052026618269812,0.041589011664457554,241
entropy,4,5,80,0.8052026618269812,0.041589011664457554,241
entropy,4,10,80,0.8052026618269812,0.041589011664457554,241
entropy,4,20,80,0.8052026618269812,0.041589011664457554,241
entropy,4,40,80,0.8052026618269812,0.041589011664457554,241
entropy,4,80,80,0.8052026618269812,0.041589011664457554,241
entropy,5,2,2,0.8120387174833636,0.035922440740025346,209
entropy,5,5,2,0.8120387174833636,0.035922440740025346,209
entropy,5,10,2,0.8120387174833636,0.035922440740025346,209
entropy,5,20,2,0.8120387174833636,0.035922440740025346,209
entropy,5,40,2,0.8225045372050817,0.028606005585898254,37
entropy,5,80,2,0.8189957652752572,0.03973887182843178,153
entropy,5,2,5,0.8120387174833636,0.035922440740025346,209
entropy,5,5,5,0.8120387174833636,0.035922440740025346,209
entropy,5,10,5,0.8120387174833636,0.035922440740025346,209
entropy,5,20,5,0.8120387174833636,0.035922440740025346,209
entropy,5,40,5,0.8225045372050817,0.028606005585898254,37
entropy,5,80,5,0.8189957652752572,0.03973887182843178,153
entropy,5,2,10,0.8190562613430128,0.04078188853960622,137
entropy,5,5,10,0.8190562613430128,0.04078188853960622,137
entropy,5,10,10,0.8190562613430128,0.04078188853960622,137
entropy,5,20,10,0.8190562613430128,0.04078188853960622,137
entropy,5,40,10,0.8225045372050817,0.028606005585898254,37
entropy,5,80,10,0.8189957652752572,0.03973887182843178,153
entropy,5,2,20,0.8225045372050817,0.028606005585898254,37
entropy,5,5,20,0.8225045372050817,0.028606005585898254,37
entropy,5,10,20,0.8225045372050817,0.028606005585898254,37
entropy,5,20,20,0.8225045372050817,0.028606005585898254,37
entropy,5,40,20,0.8225045372050817,0.028606005585898254,37
entropy,5,80,20,0.8189957652752572,0.03973887182843178,153
entropy,5,2,40,0.8225045372050817,0.04374597782127807,37
entropy,5,5,40,0.8225045372050817,0.04374597782127807,37
entropy,5,10,40,0.8225045372050817,0.04374597782127807,37
entropy,5,20,40,0.8225045372050817,0.04374597782127807,37
entropy,5,40,40,0.8225045372050817,0.04374597782127807,37
entropy,5,80,40,0.8225045372050817,0.04374597782127807,37
entropy,5,2,80,0.8052026618269812,0.041589011664457554,241
entropy,5,5,80,0.8052026618269812,0.041589011664457554,241
entropy,5,10,80,0.8052026618269812,0.041589011664457554,241
entropy,5,20,80,0.8052026618269812,0.041589011664457554,241
entropy,5,40,80,0.8052026618269812,0.041589011664457554,241
entropy,5,80,80,0.8052026618269812,0.041589011664457554,241
