param_criterion,param_max_depth,param_min_samples_split,param_min_samples_leaf,mean_test_score,std_test_score,rank_test_score
gini,,1,1,0.794615849969752,0.04214540089937692,547
gini,,2,1,0.7981246218995766,0.05148979507561748,482
gini,,5,1,0.7875378100423474,0.03467095036478431,583
gini,,10,1,0.7946763460375076,0.05092583274022602,543
gini,,20,1,0.7910465819721718,0.037256148585926636,568
gini,,40,1,0.8085904416212946,0.05063575078799231,197
gini,,80,1,0.8014519056261342,0.037200704054404364,442
gini,,1,2,0.8015728977616454,0.03939404342864244,433
gini,,2,2,0.7981246218995764,0.047503706604721925,540
gini,,5,2,0.8015728977616454,0.0424042482160486,433
gini,,10,2,0.8053236539624924,0.05801462502427092,228
gini,,20,2,0.794615849969752,0.03911528100191413,547
gini,,40,2,0.8120992135511191,0.05220442610748555,127
gini,,80,2,0.8014519056261342,0.037200704054404364,442
gini,,1,5,0.7877797943133695,0.04688527212756648,570
gini,,2,5,0.7877797943133695,0.04688527212756648,570
gini,,5,5,0.7877797943133695,0.04688527212756648,570
gini,,10,5,0.7877797943133695,0.04688527212756648,570
gini,,20,5,0.7981246218995764,0.03768356341134163,540
gini,,40,5,0.8120992135511191,0.05220442610748555,127
gini,,80,5,0.8014519056261342,0.037200704054404364,442
gini,,1,10,0.8120992135511192,0.04629684660107498,113
gini,,2,10,0.8120992135511192,0.04629684660107498,113
gini,,5,10,0.8120992135511192,0.04629684660107498,113
gini,,10,10,0.8120992135511192,0.04629684660107498,113
gini,,20,10,0.8120992135511192,0.04629684660107498,113
gini,,40,10,0.8154869933454327,0.0398668627510116,106
gini,,80,10,0.8014519056261342,0.037200704054404364,442
gini,,1,20,0.7981246218995766,0.04102579093534936,482
gini,,2,20,0.7981246218995766,0.04102579093534936,482
gini,,5,20,0.7981246218995766,0.04102579093534936,482
gini,,10,20,0.7981246218995766,0.04102579093534936,482
gini,,20,20,0.7981246218995766,0.04102579093534936,482
gini,,40,20,0.7981246218995766,0.04102579093534936,482
gini,,80,20,0.8014519056261342,0.037200704054404364,442
gini,,1,40,0.8225045372050817,0.04374597782127807,1
gini,,2,40,0.8225045372050817,0.04374597782127807,1
gini,,5,40,0.8225045372050817,0.04374597782127807,1
gini,,10,40,0.8225045372050817,0.04374597782127807,1
gini,,20,40,0.8225045372050817,0.04374597782127807,1
gini,,40,40,0.8225045372050817,0.04374597782127807,1
gini,,80,40,0.8225045372050817,0.04374597782127807,1
gini,,1,80,0.8052026618269812,0.041589011664457554,230
gini,,2,80,0.8052026618269812,0.041589011664457554,230
gini,,5,80,0.8052026618269812,0.041589011664457554,230
gini,,10,80,0.8052026618269812,0.041589011664457554,230
gini,,20,80,0.8052026618269812,0.041589011664457554,230
gini,,40,80,0.8052026618269812,0.041589011664457554,230
gini,,80,80,0.8052026618269812,0.041589011664457554,230
gini,1,1,1,0.8052026618269812,0.041589011664457554,230
gini,1,2,1,0.8052026618269812,0.041589011664457554,230
gini,1,5,1,0.8052026618269812,0.041589011664457554,230
gini,1,10,1,0.8052026618269812,0.041589011664457554,230
gini,1,20,1,0.8052026618269812,0.041589011664457554,230
gini,1,40,1,0.8052026618269812,0.041589011664457554,230
gini,1,80,1,0.8052026618269812,0.041589011664457554,230
gini,1,1,2,0.8052026618269812,0.041589011664457554,230
gini,1,2,2,0.8052026618269812,0.041589011664457554,230
gini,1,5,2,0.8052026618269812,0.041589011664457554,230
gini,1,10,2,0.8052026618269812,0.041589011664457554,230
gini,1,20,2,0.8052026618269812,0.041589011664457554,230
gini,1,40,2,0.8052026618269812,0.041589011664457554,230
gini,1,80,2,0.8052026618269812,0.041589011664457554,230
gini,1,1,5,0.8052026618269812,0.041589011664457554,230
gini,1,2,5,0.8052026618269812,0.041589011664457554,230
gini,1,5,5,0.8052026618269812,0.041589011664457554,230
gini,1,10,5,0.8052026618269812,0.041589011664457554,230
gini,1,20,5,0.8052026618269812,0.041589011664457554,230
gini,1,40,5,0.8052026618269812,0.041589011664457554,230
gini,1,80,5,0.8052026618269812,0.041589011664457554,230
gini,1,1,10,0.8052026618269812,0.041589011664457554,230
gini,1,2,10,0.8052026618269812,0.041589011664457554,230
gini,1,5,10,0.8052026618269812,0.041589011664457554,230
gini,1,10,10,0.8052026618269812,0.041589011664457554,230
gini,1,20,10,0.8052026618269812,0.041589011664457554,230
gini,1,40,10,0.8052026618269812,0.041589011664457554,230
gini,1,80,10,0.8052026618269812,0.041589011664457554,230
gini,1,1,20,0.8052026618269812,0.041589011664457554,230
gini,1,2,20,0.8052026618269812,0.041589011664457554,230
gini,1,5,20,0.8052026618269812,0.041589011664457554,230
gini,1,10,20,0.8052026618269812,0.041589011664457554,230
gini,1,20,20,0.8052026618269812,0.041589011664457554,230
gini,1,40,20,0.8052026618269812,0.041589011664457554,230
gini,1,80,20,0.8052026618269812,0.041589011664457554,230
gini,1,1,40,0.8052026618269812,0.041589011664457554,230
gini,1,2,40,0.8052026618269812,0.041589011664457554,230
gini,1,5,40,0.8052026618269812,0.041589011664457554,230
gini,1,10,40,0.8052026618269812,0.041589011664457554,230
gini,1,20,40,0.8052026618269812,0.041589011664457554,230
gini,1,40,40,0.8052026618269812,0.041589011664457554,230
gini,1,80,40,0.8052026618269812,0.041589011664457554,230
